PRICES,Hour 01,Hour 02,Hour 03,Hour 04,Hour 05,Hour 06,Hour 07,Hour 08,Hour 09,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
01/Jan/10,13.20,13.14,11.83,9.49,8.63,7.12,4.06,1.00,8.40,9.11,10.18,13.56,18.02,15.02,12.58,10.18,9.81,18.79,22.70,30.06,27.30,23.93,33.49,31.06
02/Jan/10,23.00,17.45,19.12,12.76,10.19,11.99,15.65,23.50,28.90,37.12,41.82,44.69,47.00,41.15,39.25,34.95,37.26,46.84,56.49,56.05,45.50,39.32,43.00,41.07
03/Jan/10,39.44,31.98,30.00,27.07,19.18,17.51,17.03,21.00,28.23,35.01,40.00,44.18,47.21,41.55,36.54,33.20,26.53,44.60,56.85,57.75,49.66,39.67,43.55,39.34
04/Jan/10,37.15,33.47,28.00,21.29,16.92,28.00,36.43,59.47,59.73,62.10,62.74,62.65,62.51,59.92,56.00,49.67,54.40,71.11,78.77,64.46,50.73,43.90,46.58,43.38
05/Jan/10,37.90,38.11,29.99,28.91,27.00,29.56,40.94,55.00,55.50,57.10,57.00,58.00,57.00,56.17,56.28,53.54,56.19,67.20,62.00,55.00,49.50,45.88,42.68,41.85
06/Jan/10,48.52,39.62,41.25,37.12,32.50,39.50,51.69,56.90,56.95,49.75,52.31,68.16,66.19,61.24,59.70,54.63,51.00,66.99,75.00,56.90,43.56,40.50,56.36,58.98
07/Jan/10,40.00,38.02,34.99,33.65,32.00,32.82,39.10,52.65,59.00,62.66,61.10,62.86,63.00,70.80,66.40,55.75,60.12,77.44,70.00,59.95,54.00,48.00,46.47,43.94
08/Jan/10,47.96,49.02,37.00,33.61,32.96,33.31,54.90,66.26,75.00,78.09,61.45,59.26,57.00,61.40,49.01,48.00,49.66,63.08,55.63,47.15,41.49,34.99,36.04,54.90
09/Jan/10,30.04,28.00,46.16,27.53,25.00,22.00,30.24,33.00,37.00,42.99,46.59,46.76,47.66,45.00,43.60,40.06,45.00,55.29,51.61,48.00,48.77,39.93,43.24,43.05
10/Jan/10,66.00,63.19,56.18,18.00,0.01,0.01,1.00,0.01,20.99,30.00,44.65,46.93,46.60,44.86,39.99,35.57,39.50,47.93,54.00,49.18,45.62,43.00,43.00,38.10
11/Jan/10,59.43,45.93,36.09,31.00,30.91,30.90,37.31,57.04,70.50,71.50,71.00,70.04,68.75,84.48,81.52,61.45,72.69,89.00,80.66,63.50,49.99,43.66,66.19,62.92
12/Jan/10,63.20,67.27,61.85,55.00,53.02,60.29,75.00,102.12,143.28,195.56,179.58,158.11,93.99,75.17,66.11,66.20,65.66,83.73,101.25,72.77,64.15,42.00,61.10,54.69
13/Jan/10,44.96,46.40,45.88,35.01,34.28,37.11,53.05,66.18,63.92,61.46,62.36,63.88,66.46,65.15,63.60,57.65,58.29,67.01,72.13,71.03,67.50,43.50,51.67,47.00
14/Jan/10,44.09,45.18,41.19,33.50,32.21,40.90,51.47,65.25,65.58,66.20,66.19,66.17,65.29,63.08,62.03,57.23,61.11,69.00,87.96,69.99,66.19,55.59,55.53,50.62
15/Jan/10,47.73,47.78,42.75,32.99,32.00,39.84,48.96,65.00,65.17,64.82,66.18,66.00,62.93,62.13,57.95,50.41,53.80,63.02,67.44,66.99,60.95,50.77,53.06,53.86
16/Jan/10,42.56,40.74,37.56,34.01,31.76,29.80,29.20,27.67,36.67,43.00,45.34,46.00,43.00,39.59,37.93,34.87,34.30,44.80,53.12,39.93,34.20,37.00,47.03,47.08
17/Jan/10,41.78,40.17,30.91,17.00,14.79,12.31,11.93,14.00,21.25,32.99,40.00,40.50,38.00,34.94,30.00,27.00,27.67,38.68,41.11,43.00,43.71,42.65,45.21,42.73
18/Jan/10,32.01,31.00,26.44,19.15,19.00,26.21,40.20,61.53,60.21,59.99,59.30,59.12,57.34,54.93,50.91,48.33,52.80,62.07,68.27,54.75,47.80,43.54,47.91,42.31
19/Jan/10,39.93,38.67,33.99,30.91,29.00,36.53,49.59,57.00,59.08,58.68,58.57,58.41,57.63,53.63,52.05,49.01,50.75,60.00,65.46,58.87,50.86,43.40,47.66,43.79
20/Jan/10,38.57,37.33,31.64,29.31,28.91,32.96,43.08,58.00,56.44,56.87,58.62,53.09,51.00,52.46,54.68,49.78,49.99,54.93,63.84,47.10,46.83,43.00,44.99,41.02
21/Jan/10,37.51,36.12,33.05,28.81,27.54,34.00,41.30,53.18,55.27,52.50,53.00,53.50,50.50,52.29,50.22,48.09,49.94,56.27,63.16,47.58,44.93,42.00,45.00,40.47
22/Jan/10,37.75,37.10,32.48,30.30,29.34,31.34,40.86,54.14,55.00,56.70,54.56,55.39,52.92,50.00,48.45,44.96,45.50,51.22,51.43,44.88,41.50,42.40,43.47,40.51
23/Jan/10,41.27,39.09,35.00,30.95,28.50,29.58,29.77,35.00,39.93,43.00,46.79,48.66,52.89,46.15,43.41,41.45,41.96,45.78,53.19,52.83,46.29,41.19,43.01,42.00
24/Jan/10,42.07,41.83,40.09,33.28,26.67,22.00,20.05,27.85,31.16,36.57,42.76,46.09,48.60,42.61,37.82,34.40,34.84,42.15,50.08,49.48,45.68,42.42,43.16,42.63
25/Jan/10,37.71,34.15,31.00,27.00,27.97,33.00,43.45,53.60,57.11,61.00,62.70,62.70,59.04,60.04,55.58,50.66,51.00,60.67,58.85,50.00,49.90,44.37,42.89,39.84
26/Jan/10,41.91,40.00,36.25,31.08,30.00,37.01,44.11,56.30,60.61,62.38,63.34,63.00,62.20,60.66,58.35,54.94,55.00,66.19,70.18,61.07,50.77,46.72,46.10,45.68
27/Jan/10,49.89,46.03,43.02,35.94,33.50,34.81,46.70,60.97,66.51,79.08,72.67,65.50,66.18,62.92,59.22,51.10,47.86,52.00,52.00,44.93,38.00,33.98,44.10,45.52
28/Jan/10,43.86,44.77,43.04,35.21,34.50,43.15,56.18,65.99,63.20,63.07,61.26,61.34,56.19,55.00,54.55,51.92,51.67,53.43,76.86,51.00,47.00,41.50,47.17,47.02
29/Jan/10,50.14,46.32,35.00,32.00,31.50,35.27,60.11,66.26,67.00,67.75,68.00,69.00,67.30,65.84,65.40,51.00,50.00,55.00,58.50,55.00,48.94,42.00,59.50,58.96
30/Jan/10,46.61,46.33,30.00,28.00,27.92,29.00,29.34,33.50,36.00,43.56,47.67,50.10,48.39,44.00,41.04,42.00,44.36,49.93,57.00,50.00,46.69,41.26,43.50,42.97
31/Jan/10,55.77,55.11,32.00,28.72,26.29,23.04,16.04,18.44,25.59,32.17,37.00,42.50,43.75,38.99,34.20,31.97,34.93,48.36,55.00,50.00,45.00,41.28,43.67,51.75
01/Feb/10,36.50,34.00,30.65,29.93,27.80,31.00,69.57,74.23,63.54,65.00,65.00,69.00,65.25,64.43,62.33,55.92,56.50,71.53,109.72,91.01,50.50,43.05,56.29,56.96
02/Feb/10,39.33,40.75,31.50,29.00,28.00,30.50,53.03,65.99,71.97,72.00,49.00,65.81,60.24,60.67,58.99,53.02,52.90,53.02,75.18,66.01,56.00,35.53,48.59,45.17
03/Feb/10,39.85,42.29,30.00,27.06,24.38,30.00,47.02,58.99,57.00,57.96,59.83,61.99,60.21,60.62,54.20,50.01,47.14,54.50,80.25,59.11,49.93,45.88,45.09,42.00
04/Feb/10,39.76,41.02,33.50,29.93,30.00,36.00,44.74,56.91,57.95,59.25,58.92,59.30,56.88,56.34,54.00,51.00,49.99,58.00,70.68,59.74,51.24,43.61,44.00,39.22
05/Feb/10,36.93,34.19,32.34,29.03,28.17,32.58,38.97,50.50,50.75,52.00,52.68,53.00,52.40,49.19,45.06,41.00,40.83,47.00,57.10,53.06,46.43,39.91,42.07,41.27
06/Feb/10,40.00,37.93,34.00,29.90,27.82,28.01,26.10,31.12,36.98,42.27,44.00,46.50,47.01,44.12,39.80,38.99,39.96,43.77,56.28,53.35,43.95,40.09,42.09,40.89
07/Feb/10,40.94,39.41,35.89,30.65,27.82,26.28,23.98,27.65,29.58,35.78,41.23,43.60,44.22,40.49,34.99,32.45,31.04,38.04,50.06,51.48,47.75,44.30,44.40,40.80
08/Feb/10,37.25,36.46,37.39,30.00,29.73,33.00,54.00,63.62,64.90,69.61,69.86,66.27,66.00,61.99,56.51,53.60,53.00,63.14,101.20,70.03,61.99,45.87,51.00,45.90
09/Feb/10,39.96,39.00,35.00,30.00,29.50,36.09,46.41,58.00,62.59,63.18,64.10,64.00,60.53,57.23,56.27,53.02,54.13,60.80,78.41,70.09,54.61,46.43,46.50,44.61
10/Feb/10,40.71,44.99,38.87,31.96,30.72,37.00,44.75,59.99,63.36,66.19,66.09,66.26,64.29,62.40,57.50,53.06,51.43,58.70,73.50,69.48,56.72,47.20,48.25,46.53
11/Feb/10,52.90,49.01,52.45,42.91,39.05,49.00,61.03,65.00,63.51,66.20,64.99,66.20,63.19,59.00,66.28,60.40,53.02,56.20,91.65,74.76,61.02,49.02,53.28,55.81
12/Feb/10,53.53,55.88,51.00,30.03,30.65,53.03,63.49,74.56,75.00,120.29,80.00,74.99,58.41,70.31,66.25,58.99,64.24,54.93,91.80,79.99,48.00,42.33,61.43,57.95
13/Feb/10,52.90,39.28,35.75,33.72,32.00,32.21,30.00,34.96,40.00,49.00,50.99,51.00,49.93,47.50,42.99,42.00,41.50,48.00,59.34,54.93,46.80,41.28,45.23,45.00
